original_code,pytest_code,coverage
"def clip_bbox(bboxes_voc, height=720, width=1280):
    
    bboxes_voc[..., 0::2] = bboxes_voc[..., 0::2].clip(0, width)
    bboxes_voc[..., 1::2] = bboxes_voc[..., 1::2].clip(0, height)
    return bboxes_voc","import pytest
from source import clip_bbox  # assuming the function is in source.py

def test_clip_bbox():
    bboxes_voc = np.array([[10, 20, 30, 40], [50, 60, 70, 80], [90, 100, 110, 120]])
    height = 720
    width = 1280
    result = clip_bbox(bboxes_voc, height, width)
    expected = np.array([[10, 20, 30, 40], [50, 60, 70, 80], [90, 100, 110, 120]])

    # Adjust the bounding box coordinates to be within the specified range
    np.testing.assert_array_almost_equal(result, expected)",100.0
"import numpy

def weighted_percentile(values, weights, percentile, ignore_nan=True):
    
    if not ignore_nan and (any(numpy.isnan(values)) or any(numpy.isnan(weights))):
        return numpy.nan

    values = 1. * numpy.array(values)
    weights = 1. * numpy.array(weights)

    tfs = numpy.logical_and(numpy.logical_not(numpy.isnan(values)), weights > 0)
    values = numpy.extract(tfs, values)
    weights = numpy.extract(tfs, weights)
    if values.size == 0:
        return numpy.nan

    ind = numpy.argsort(values)
    sorted_values = values[ind]
    sorted_weights = weights[ind]
    total_weight = sorted_weights.sum()

    probabilities = sorted_weights.cumsum() / total_weight

    ind = numpy.searchsorted(probabilities, percentile / 100.)
    if probabilities[ind] == percentile / 100.:
        return numpy.mean(sorted_values[ind:ind+2])
    else:
        return sorted_values[ind]","# test_source.py
import numpy
import pytest
from source import weighted_percentile

def test_weighted_percentile():
    values = [10, 20, 30, 40, 50]
    weights = [1, 1, 2, 1, 0.5]
    percentile = 25
    result = weighted_percentile(values, weights, percentile)
    assert result == 25

def test_weighted_percentile_ignore_nan():
    values = [10, 20, 30, 40, 50]
    weights = [1, 1, 2, numpy.nan, 0.5]
    percentile = 25
    result = weighted_percentile(values, weights, percentile, ignore_nan=True)
    assert result == 25

def test_weighted_percentile_nan():
    values = [10, 20, 30, 40, 50]
    weights = [1, 1, 2, numpy.nan, 0.5]
    percentile = 25
    result = weighted_percentile(values, weights, percentile)
    assert numpy.isnan(result)",100.0
"def convert_xywh_to_tf(api_box):
    
    x_min, y_min, width_of_box, height_of_box = api_box
    x_max = x_min + width_of_box
    y_max = y_min + height_of_box
    return [y_min, x_min, y_max, x_max]","import pytest
from source import convert_xywh_to_tf

def test_convert_xywh_to_tf():
    # A test case where the function should return [10, 10, 20, 20]
    assert convert_xywh_to_tf([10, 10, 10, 10]) == [10, 10, 20, 20]

    # A test case where the function should return [15, 15, 30, 30]
    assert convert_xywh_to_tf([15, 15, 15, 15]) == [15, 15, 30, 30]

    # A test case where the function should return [50, 50, 70, 70]
    assert convert_xywh_to_tf([50, 50, 20, 20]) == [50, 50, 70, 70]

    # A test case where the function should return [80, 80, 100, 100]
    assert convert_xywh_to_tf([80, 80, 10, 10]) == [80, 80, 90, 90]",100.0
"def bc2xy(p, corners):
    
    assert p.shape[1] == 3
    assert corners.shape == (3, 2)
    return p @ corners","# test_source.py

import sys
sys.path.append(""."")  # add current directory to import path
from source import bc2xy  # import the function from source.py
import pytest
import numpy as np

def test_bc2xy():
    p = np.array([[1, 2, 3], [4, 5, 6], [7, 8, 9]])
    corners = np.array([[10, 11], [12, 13], [14, 15]])

    result = bc2xy(p, corners)
    print(result)
    assert result.shape == (3, 2)

if __name__ == ""__main__"":
    pytest.main()",100.0
"import torch

def axangle2mat_torch(axis, angle, is_normalized=False):
    
    B = axis.shape[0]

    if not is_normalized:
        norm_axis = axis.norm(p=2, dim=1, keepdim=True)
        normed_axis = axis / norm_axis
    else:
        normed_axis = axis
    x, y, z = normed_axis[:, 0], normed_axis[:, 1], normed_axis[:, 2]
    c = torch.cos(angle)
    s = torch.sin(angle)
    C = 1 - c
    # yapf: disable
    xs  = x * s;   ys = y * s;   zs = z * s  # noqa
    xC  = x * C;   yC = y * C;   zC = z * C  # noqa
    xyC = x * yC; yzC = y * zC; zxC = z * xC  # noqa
    # yapf: enable
    return torch.stack(
        [x * xC + c, xyC - zs, zxC + ys, xyC + zs, y * yC + c, yzC - xs, zxC - ys, yzC + xs, z * zC + c], dim=1
    ).reshape(B, 3, 3)","import torch
import pytest
import os
import source  # assuming the actual code file is named 'source.py'

def test_axangle2mat_torch():
    # Test with random inputs
    axis_tensor = torch.randn(10, 3)
    angle_tensor = torch.randn(10)
    for is_normalized in [True, False]:
        result = source.axangle2mat_torch(axis_tensor, angle_tensor, is_normalized)
        assert result.shape == (10, 3, 3)

    # Test with normalized axis input
    axis_tensor = torch.tensor([[1, 2, 3], [0.3, 0.6, 0.9]])
    angle_tensor = torch.tensor([1.2, 0.4])
    result = source.axangle2mat_torch(axis_tensor, angle_tensor, True)
    expected_result = torch.tensor([[[1.9985, -0.1148, -0.0582], 
                                      [-0.0582, 1.0015, -0.1217], 
                                      [-0.1148, 0.0582, 1.9985]],
                                     [[1.9868, -0.0911, 0.0409], 
                                      [0.0409, 1.0075, -0.0911], 
                                      [-0.0911, 0.0409, 1.9868]]])
    assert torch.allclose(result, expected_result, atol=1e-4)

if __name__ == ""__main__"":
    pytest.main()",100.0
"def hubbard_dimer_gf_z(z, hopping, interaction, kind='+'):
    r
    if kind not in ('+', '-'):
        raise ValueError(f""invalid literal for `kind`: '{kind}'"")
    s = 1 if kind == '+' else -1
    t = hopping
    U = interaction
    W = (0.25*U*U + 4*t*t)**0.5
    E_0 = 0.5*U - W
    gf_z  = (0.5 + s*t/W) / (z - (E_0 + s*t))
    gf_z += (0.5 - s*t/W) / (z - (U + s*t - E_0))
    return gf_z","import pytest
import os
import sys
sys.path.append(os.path.abspath(os.path.join(os.path.dirname(__file__), '..')))
from source import hubbard_dimer_gf_z

def test_hubbard_dimer_gf_z():
    # Test for kind = '+'
    assert abs(hubbard_dimer_gf_z(1.5, 0.5, 1, kind='+') - 0.675) < 1e-3
    # Test for kind = '-'
    assert abs(hubbard_dimer_gf_z(1.5, 0.5, 1, kind='-') - 0.325) < 1e-3
    # Test for invalid kind
    with pytest.raises(ValueError):
        hubbard_dimer_gf_z(1.5, 0.5, 1, kind='?')",100.0
"def golden_section_search(function, a, b, tol=1e-3):
    

    gr = (5 ** 0.5 + 1) / 2

    c = b - (b - a) / gr
    d = a + (b - a) / gr

    while abs(c - d) > tol:

        if function(c) < function(d):
            b = d

        else:
            a = c

        c = b - (b - a) / gr
        d = a + (b - a) / gr

    return (b + a) / 2","# test_source.py
import pytest
import os
import sys
sys.path.append(os.path.dirname(os.path.abspath(__file__)) + ""/.."")
from source import golden_section_search

def test_golden_section_search():
    # Example of a function to optimize
    def func(x):
        return x**2

    # Test with an interval [-10, 10]
    result = golden_section_search(func, -10, 10)
    assert abs(result - 0.5) < 1e-3  # Tests that the result is approximately 0.5",100.0
"def set_origin(cut_plane, center_x1=0.0, center_x2=0.0):
    
    # Store the un-interpolated input arrays at this slice
    cut_plane.df.x1 = cut_plane.df.x1 - center_x1
    cut_plane.df.x2 = cut_plane.df.x2 - center_x2

    return cut_plane","# test_source.py
import pytest

def test_set_origin():
    cut_plane = set_origin([1,2,3])
    expected_result = [0,1,2]
    assert cut_plane == expected_result",100.0
"def uniform_loss(xs, ys):
    
    dx = xs[1] - xs[0]
    return dx","import pytest
import sys
sys.path.append(""."")
from source import uniform_loss

def test_uniform_loss():
    xs = [1, 2, 3, 4, 5]
    ys = [2, 3, 4, 5, 6]
    assert uniform_loss(xs, ys) == 1

test_uniform_loss()",100.0
"def squeeze(x, reverse=False):
    
    b, c, h, w = x.size()
    if reverse:
        # Unsqueeze
        x = x.view(b, c // 4, 2, 2, h, w)
        x = x.permute(0, 1, 4, 2, 5, 3).contiguous()
        x = x.view(b, c // 4, h * 2, w * 2)
    else:
        # Squeeze
        x = x.view(b, c, h // 2, 2, w // 2, 2)
        x = x.permute(0, 1, 3, 5, 2, 4).contiguous()
        x = x.view(b, c * 2 * 2, h // 2, w // 2)

    return x","# test_source.py

import pytest
import sys
sys.path.append(""."")
from source import squeeze

def test_squeeze():
    # Testing the squeeze function
    x = squeeze(torch.randn(2, 8, 3, 4, 4))
    assert x.shape == (2, 8, 6, 8)

    x = squeeze(torch.randn(2, 8, 3, 4, 4), reverse=True)
    assert x.shape == (2, 8, 16, 16)

# Running the test
pytest.main()",100.0
